6,8,594972641205496685
6,8,4510279255656741678
8,1,23
2,1,19
5,3,796579705
3,8,14157403725220326201
8,1,115
1,1,98
4,8,10861623177682999319
2,1,92
9,3,1549246037
7,1,32
0,8,1667141262003306632
6,8,2463571725540598863
3,8,9799788339728103500
5,3,1733424481
1,1,76
4,8,13736599434724675801
8,1,119
2,1,97
7,1,53
9,3,1960994170
0,8,5124443576771778922
6,8,6400040307625132972
3,8,12115425815203404458
5,3,241522798
1,1,47
4,8,8690857857396221027
8,1,119
2,1,9
7,1,31
9,3,1329308062
0,8,10826141163511654520
6,8,15838088980954092279
3,8,1339510620420143647
5,3,744257057
1,1,118
4,8,12613711650187887401
8,1,48
2,1,11
7,1,19
9,3,1902384706
6,8,828765052094295589
0,8,13930256641257617321
3,8,3016789988058774974
5,3,2059139441
1,1,40
4,8,11857866242399165828
8,1,24
2,1,74
7,1,27
9,3,1418284800
6,8,13145101181246706522
0,8,13468128877284003106
5,3,746956277
3,8,12136531474737883887
1,1,105
4,8,11604009401779715264
8,1,93
2,1,71
7,1,50
9,3,856957837
6,8,10664001071529939460
0,8,7097187218387218896
5,3,1423636767
3,8,7319871913513099505
1,1,92
4,8,2358416583720884849
8,1,94
2,1,27
7,1,80
9,3,916088937
6,8,9591831169343679380
0,8,1856329261878574757
5,3,1872940363
3,8,17493392580277318218
1,1,37
4,8,7224925889070766018
8,1,23
2,1,63
7,1,56
9,3,1756540360
6,8,13734147225090988768
0,8,7396798444154877427
5,3,228149583
3,8,1863964101563504849
1,1,114
4,8,8067350782846800678
8,1,95
2,1,97
7,1,3
9,3,205854233
6,8,4926165537294978246
0,8,12692449123340503720
5,3,1501835282
3,8,18256934456912447992
1,1,60
4,8,13131628595032857091
8,1,45
2,1,78
7,1,93
9,3,851341972
6,8,7907473616270569388
0,8,13693093465641153810
5,3,1528394022
3,8,1025070213889819036
1,1,66
4,8,8356194280758149771
8,1,97
2,1,51
9,3,1475743650
7,1,102
6,8,8764201912728951812
0,8,7270695874907559261
5,3,1039838891
3,8,4892550406524488578
1,1,32
4,8,10660689775686700490
8,1,64
2,1,27
9,3,1995076724
7,1,31
6,8,12103583614846905380
0,8,14357980732174933145
5,3,1573128256
3,8,9442487269498283553
1,1,89
4,8,12253648714742060168
8,1,82
2,1,44
9,3,529059566
7,1,108
6,8,6653705023971288785
0,8,896263657676687675
5,3,1516312418
3,8,10759085025936334352
1,1,87
4,8,6273200317507108933
8,1,121
8,1,30
8,1,86
3,8,14420868084961270381
2,1,33
5,1,28
4,1,11
3,8,2808083963203105353
1,1,103
2,1,76
6,1,35
9,8,2505475110661912535
0,1,44
5,1,72
7,1,101
4,1,31
8,1,35
1,1,83
3,8,5640803804069123075
2,1,44
6,1,19
9,8,9887956748309652080
0,1,22
5,1,53
7,1,92
4,1,48
8,1,117
1,1,89
3,8,1090481320024070535
2,1,102
3,1,81
8,8,17882897175718616940
3,1,27
8,8,3058086914725735868
2,3,1478273629
2,3,747816271
6,1,108
1,1,80
7,1,65
9,1,21
5,1,36
4,3,1465223763
6,1,51
1,1,17
7,1,109
0,1,108
9,1,8
3,1,58
1,8,4261078048325777433
5,8,1035908895160564932
0,3,190905118
7,3,189340224
9,8,1093747443315576688
1,8,7337473586358999436
4,1,100
2,3,961510289
3,8,5555157414229670516
8,1,59
5,8,14008490302034050200
6,1,111
0,3,1158657702
7,3,1117624142
7,1,123
3,8,13251691643777677218
7,1,6
2,1,29
9,1,40
1,1,36
3,8,8596648023654260009
8,1,54
4,8,11782230360530586403
6,1,22
5,1,107
2,1,66
